Name,Lat,Lon,Url
DZA_AD_Miliana.604300_TMYx.2003-2017.zip,36.3,2.233,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AD_Ain_Defla/DZA_AD_Miliana.604300_TMYx.2003-2017.zip
CAN_AB_Bow.Island.712310_CWEC2016.zip,49.734,111.45,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Island.712310_CWEC2016.zip
DZA_AD_Miliana.604300_TMYx.zip,36.3,2.233,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AD_Ain_Defla/DZA_AD_Miliana.604300_TMYx.zip
CAN_AB_Grande.Prairie.AP.719400_CWEC2016.zip,55.18,118.885,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Grande.Prairie.AP.719400_CWEC2016.zip
DZA_AL_Algiers.Intl.AP.603900_TMYx.2003-2017.zip,36.691,3.215,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Intl.AP.603900_TMYx.2003-2017.zip
CAN_AB_Red.Deer.Rgnl.AP.718780_CWEC2016.zip,52.182,113.894,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Red.Deer.Rgnl.AP.718780_CWEC2016.zip
DZA_AL_Algiers.Port.603690_TMYx.2003-2017.zip,36.786,3.065,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Port.603690_TMYx.2003-2017.zip
CAN_AB_Bow.Island.Irrigation.AgDM.715190_CWEC2016.zip,49.867,111.383,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Island.Irrigation.AgDM.715190_CWEC2016.zip
CAN_AB_Hendrickson.Creek.719790_CWEC2016.zip,53.795,118.447,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Hendrickson.Creek.719790_CWEC2016.zip
DZA_AL_Algiers.Port.603690_TMYx.zip,36.786,3.065,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Port.603690_TMYx.zip
CAN_AB_Red.Earth.Creek.AP.712460_CWEC2016.zip,56.552,115.278,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Red.Earth.Creek.AP.712460_CWEC2016.zip
DZA_AL_Algiers.Intl.AP.603900_TMYx.zip,36.691,3.215,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AL_Algiers/DZA_AL_Algiers.Intl.AP.603900_TMYx.zip
CAN_AB_Bow.Valley.Provinicial.Park.712320_CWEC2016.zip,51.083,115.067,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Bow.Valley.Provinicial.Park.712320_CWEC2016.zip
